sample_method,sample_size,sample_no,percent_male,protected_frequency,log_geom_diversity,4_entropy
uniform,40,89,10,0.95,-33.137402158694975,0.8357940955133492
uniform,40,90,10,0.975,-33.437107739043206,0.76652833049184
uniform,40,91,10,0.875,-33.60707202993189,1.064182169435859
uniform,40,92,10,0.95,-34.12681185490071,0.8863895030852473
uniform,40,93,10,0.775,-33.19392485567566,1.2099338754903874
uniform,40,94,10,0.95,-36.089393641085,0.8916624239058177
uniform,40,95,10,0.875,-32.29606886855775,1.0055726752075114
uniform,40,96,10,0.9,-33.313964975763305,1.003759346135877
uniform,40,97,10,0.925,-31.464303104149135,0.9468123263852295
uniform,40,98,10,0.925,-32.0562061905725,0.9522402870850517
uniform,40,99,10,0.875,-34.3791569528511,1.0641821694358589
uniform,40,0,20,0.825,-33.42520654289824,1.151667979885236
uniform,40,1,20,0.825,-32.14469364435612,1.139891195911872
uniform,40,2,20,0.85,-32.608105718230334,1.0104127537805412
uniform,40,3,20,0.875,-32.622056205762426,1.0584412112455066
uniform,40,4,20,0.875,-32.36338784541301,1.064182169435859
uniform,40,5,20,0.825,-33.85925744642712,1.1455755158824392
uniform,40,6,20,0.825,-33.333082643623314,1.1307637755622766
uniform,40,7,20,0.85,-30.26362563852087,1.1143848308645332
uniform,40,8,20,0.75,-32.46249198830622,1.2437618852188477
uniform,40,9,20,0.775,-30.049854275827894,1.2245159646384434
uniform,40,10,20,0.85,-35.130470547183705,1.1058898790247633
uniform,40,11,20,0.925,-31.593144869435996,0.9522402870850516
uniform,40,12,20,0.825,-32.36868320907324,1.136379418399844
uniform,40,13,20,0.8,-31.630639853661076,1.1682824501765625
uniform,40,14,20,0.675,-32.91831269201628,1.2920494622513032
uniform,40,15,20,0.75,-32.21676388409427,1.24879576360652
uniform,40,16,20,0.825,-31.198990031017416,1.151667979885236
uniform,40,17,20,0.8,-35.36656741198477,1.1872832254713435
uniform,40,18,20,0.825,-32.75561252334606,1.139891195911872
uniform,40,19,20,0.825,-34.038735174328835,1.151667979885236
uniform,40,20,20,0.675,-35.38976361191027,1.2650844342050218
uniform,40,21,20,0.7,-31.380581210412256,1.2968441295132072
uniform,40,22,20,0.875,-32.822797792431636,1.0670432111586647
uniform,40,23,20,0.775,-33.25775696444044,1.2034437798513462
uniform,40,24,20,0.775,-33.793425397019696,1.2245159646384434
uniform,40,25,20,0.95,-32.1785467166462,0.8903460262836665
uniform,40,26,20,0.775,-34.24089423695021,1.1936391020391603
uniform,40,27,20,0.75,-32.98790488389068,1.2504484467910815
uniform,40,28,20,0.9,-33.49460155811538,1.003759346135877
uniform,40,29,20,0.775,-32.669327083297894,1.2049897689072253
uniform,40,30,20,0.825,-32.81302025105464,1.136379418399844
uniform,40,31,20,0.75,-32.50303326052376,1.240380690015737
uniform,40,32,20,0.825,-33.938129079956255,1.018907705620311
uniform,40,33,20,0.75,-34.01074829880397,1.207919541255537
uniform,40,34,20,0.875,-32.827312946694924,1.0454670557247812
uniform,40,35,20,0.7,-32.2455578129946,1.2798542258336676
